Issue ID,URL,Title,State,Description,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
1,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/1,"As a player, I want to be able to start a new game from the first level to begin playing.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:54:38,2023-05-10 17:11:39,,Sprint-1,,"High,Open,User-story",0,0
2,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/2,"As a player, I want to be able to restart the current level to start from the beginning.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:55:05,2023-05-10 17:11:39,,Sprint-1,,"High,Open,User-story",0,0
3,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/3,"As a player, I want to be able to undo the last move to correct mistakes.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:55:22,2023-05-10 17:11:39,,Sprint-1,,"High,Open,User-story",0,0
4,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/4,"As a player, I want to be able to save my progress in the current game to continue later.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:55:33,2023-05-10 17:11:39,,Sprint-1,,"High,Open,User-story",0,0
5,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/5,"As a player, I want to be able to load a previously saved game to resume my progress.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:55:46,2023-05-10 17:11:39,,Sprint-1,,"High,Open,User-story",0,0
6,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/6,"As a player, I want to be able to load different levels with unique boards for a varied experience.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:55:57,2023-05-10 17:13:31,,Sprint-2,,"Medium,To Do,User-story",0,0
7,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/7,"As a player, I want the boards to be displayed correctly on the game screen.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:56:21,2023-05-10 17:13:31,,Sprint-2,,"Medium,To Do,User-story",0,0
8,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/8,"As a player, I want the levels to be validated, and an error message shown if there are any issues.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:56:42,2023-05-10 17:13:31,,Sprint-2,,"Medium,To Do,User-story",0,0
9,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/9,"As a player, I want the completion of a level to be automatically detected, and the next level to be loaded.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:56:54,2023-05-10 17:13:31,,Sprint-2,,"Medium,To Do,User-story",0,0
10,https://costa.ls.fi.upm.es/gitlab/200210/parking-jam/-/issues/10,"As a player, I want to see the current status of the board, the moves made, and the current score on the game screen.",Open,"","PÉREZ UPIERRE, SALMA",200210,"","",No,No,,2023-05-10 16:57:03,2023-05-10 17:13:45,,Sprint-2,,"Low,To Do,User-story",0,0
